Test name,Execution time,Result
STC_0582.smt2,180.036138000,cvc5 interrupted by SIGTERM.
STC_0101.smt2,180.045595300,cvc5 interrupted by SIGTERM.
STC_0332.smt2,89.205014900,sat
STC_0828.smt2,180.045883600,cvc5 interrupted by SIGTERM.
STC_0583.smt2,180.037215000,cvc5 interrupted by SIGTERM.
STC_0102.smt2,180.046611000,cvc5 interrupted by SIGTERM.
STC_0333.smt2,180.047368300,cvc5 interrupted by SIGTERM.
STC_0829.smt2,180.039514600,cvc5 interrupted by SIGTERM.
STC_0584.smt2,180.044465000,cvc5 interrupted by SIGTERM.
STC_0103.smt2,180.035606400,cvc5 interrupted by SIGTERM.
STC_0334.smt2,180.051447800,cvc5 interrupted by SIGTERM.
STC_0830.smt2,180.049070800,cvc5 interrupted by SIGTERM.
STC_0585.smt2,180.051027900,cvc5 interrupted by SIGTERM.
STC_0104.smt2,180.040462500,cvc5 interrupted by SIGTERM.
STC_0586.smt2,8.587361200,sat
STC_0335.smt2,180.049950700,cvc5 interrupted by SIGTERM.
STC_0831.smt2,180.048517600,cvc5 interrupted by SIGTERM.
STC_0105.smt2,97.450025200,sat
STC_0106.smt2,65.186539400,sat
STC_0587.smt2,180.045778100,cvc5 interrupted by SIGTERM.
STC_0336.smt2,180.050537500,cvc5 interrupted by SIGTERM.
STC_0832.smt2,180.036746400,cvc5 interrupted by SIGTERM.
STC_0107.smt2,180.052801900,cvc5 interrupted by SIGTERM.
STC_0588.smt2,180.054029800,cvc5 interrupted by SIGTERM.
STC_0337.smt2,180.055749700,cvc5 interrupted by SIGTERM.
STC_0833.smt2,180.041479400,cvc5 interrupted by SIGTERM.
STC_0108.smt2,180.049798600,cvc5 interrupted by SIGTERM.
STC_0589.smt2,180.047499900,cvc5 interrupted by SIGTERM.
STC_0338.smt2,180.051584700,cvc5 interrupted by SIGTERM.
STC_0834.smt2,180.047355500,cvc5 interrupted by SIGTERM.
STC_0109.smt2,180.043828200,cvc5 interrupted by SIGTERM.
STC_0590.smt2,180.036580900,cvc5 interrupted by SIGTERM.
STC_0339.smt2,180.043585900,cvc5 interrupted by SIGTERM.
STC_0835.smt2,180.052068700,cvc5 interrupted by SIGTERM.
STC_0110.smt2,180.037516300,cvc5 interrupted by SIGTERM.
STC_0591.smt2,180.036352800,cvc5 interrupted by SIGTERM.
STC_0340.smt2,180.035285400,cvc5 interrupted by SIGTERM.
STC_0341.smt2,24.507180700,sat
STC_0342.smt2,13.030206900,sat
STC_0836.smt2,180.038052300,cvc5 interrupted by SIGTERM.
STC_0343.smt2,90.413836200,sat
STC_0344.smt2,16.724198600,sat
STC_0111.smt2,180.035003700,cvc5 interrupted by SIGTERM.
STC_0592.smt2,180.036581100,cvc5 interrupted by SIGTERM.
STC_0345.smt2,48.584614200,sat
STC_0837.smt2,180.036756500,cvc5 interrupted by SIGTERM.
STC_0112.smt2,180.035201400,cvc5 interrupted by SIGTERM.
STC_0593.smt2,180.035479900,cvc5 interrupted by SIGTERM.
STC_0346.smt2,180.040692200,cvc5 interrupted by SIGTERM.
STC_0838.smt2,180.038077600,cvc5 interrupted by SIGTERM.
STC_0113.smt2,180.039085100,cvc5 interrupted by SIGTERM.
STC_0594.smt2,180.035212400,cvc5 interrupted by SIGTERM.
STC_0347.smt2,180.045479800,cvc5 interrupted by SIGTERM.
STC_0839.smt2,180.037535200,cvc5 interrupted by SIGTERM.
STC_0114.smt2,180.039832800,cvc5 interrupted by SIGTERM.
STC_0595.smt2,180.035755300,cvc5 interrupted by SIGTERM.
STC_0348.smt2,180.037118800,cvc5 interrupted by SIGTERM.
STC_0840.smt2,180.037562800,cvc5 interrupted by SIGTERM.
STC_0115.smt2,180.035801500,cvc5 interrupted by SIGTERM.
STC_0596.smt2,180.038547100,cvc5 interrupted by SIGTERM.
STC_0349.smt2,180.042452600,cvc5 interrupted by SIGTERM.
STC_0841.smt2,180.036125800,cvc5 interrupted by SIGTERM.
STC_0350.smt2,89.590952200,sat
STC_0351.smt2,12.878669200,sat
STC_0352.smt2,31.013532000,sat
STC_0116.smt2,180.036158100,cvc5 interrupted by SIGTERM.
STC_0597.smt2,180.037352800,cvc5 interrupted by SIGTERM.
STC_0842.smt2,180.036447200,cvc5 interrupted by SIGTERM.
STC_0353.smt2,180.035373200,cvc5 interrupted by SIGTERM.
STC_0117.smt2,180.038076100,cvc5 interrupted by SIGTERM.
STC_0118.smt2,.481077800,sat
STC_0598.smt2,180.036584000,cvc5 interrupted by SIGTERM.
STC_0843.smt2,180.036582400,cvc5 interrupted by SIGTERM.
STC_0119.smt2,121.535220700,sat
STC_0354.smt2,180.038323700,cvc5 interrupted by SIGTERM.
STC_0599.smt2,180.041533600,cvc5 interrupted by SIGTERM.
STC_0844.smt2,180.038350500,cvc5 interrupted by SIGTERM.
STC_0120.smt2,180.039474500,cvc5 interrupted by SIGTERM.
STC_0355.smt2,180.037360000,cvc5 interrupted by SIGTERM.
STC_0600.smt2,180.038383700,cvc5 interrupted by SIGTERM.
STC_0845.smt2,180.043588100,cvc5 interrupted by SIGTERM.
STC_0121.smt2,180.037469100,cvc5 interrupted by SIGTERM.
STC_0846.smt2,12.439867400,sat
STC_0356.smt2,180.034953000,cvc5 interrupted by SIGTERM.
STC_0601.smt2,180.032445200,cvc5 interrupted by SIGTERM.
STC_0122.smt2,180.037416400,cvc5 interrupted by SIGTERM.
STC_0123.smt2,4.307080100,sat
STC_0847.smt2,180.036011800,cvc5 interrupted by SIGTERM.
STC_0602.smt2,114.453595100,sat
STC_0124.smt2,41.321053700,sat
STC_0125.smt2,8.033044900,sat
STC_0357.smt2,180.035966400,cvc5 interrupted by SIGTERM.
STC_0358.smt2,1.625241400,sat
STC_0126.smt2,32.088046600,sat
STC_0848.smt2,180.035981200,cvc5 interrupted by SIGTERM.
STC_0603.smt2,180.042165100,cvc5 interrupted by SIGTERM.
STC_0359.smt2,180.037110400,cvc5 interrupted by SIGTERM.
STC_0127.smt2,180.035741200,cvc5 interrupted by SIGTERM.
STC_0128.smt2,27.737331200,sat
STC_0849.smt2,180.037616000,cvc5 interrupted by SIGTERM.
STC_0604.smt2,180.035520900,cvc5 interrupted by SIGTERM.
STC_0360.smt2,180.035527500,cvc5 interrupted by SIGTERM.
STC_0129.smt2,180.034668100,cvc5 interrupted by SIGTERM.
STC_0850.smt2,180.036456800,cvc5 interrupted by SIGTERM.
STC_0605.smt2,180.034801000,cvc5 interrupted by SIGTERM.
STC_0361.smt2,180.039368500,cvc5 interrupted by SIGTERM.
STC_0362.smt2,5.455224300,sat
STC_0130.smt2,180.035405900,cvc5 interrupted by SIGTERM.
STC_0851.smt2,180.035879100,cvc5 interrupted by SIGTERM.
